date,go,cs,c,cpp,java,js,py,php,
2017-12-01,3,6,17,2,41,38,38,17,
2017-12-02,5,13,10,7,23,42,26,19,
2017-12-03,2,20,4,8,26,43,24,5,
2017-12-04,7,14,12,9,27,39,19,24,
2017-12-05,9,10,13,8,25,38,18,6,
2017-12-06,5,5,7,5,17,35,9,13,
2017-12-07,1,9,7,6,26,43,24,8,
2017-12-08,2,6,5,10,38,45,28,10,
2017-12-09,6,3,4,11,28,56,16,17,
2017-12-10,1,10,1,18,18,48,16,13,
2017-12-11,3,2,4,21,30,48,36,7,
2017-12-12,2,13,8,5,28,37,24,18,
2017-12-13,10,23,5,13,31,52,24,16,
2017-12-14,7,5,14,31,27,40,46,12,
2017-12-15,1,7,0,14,22,40,19,10,
2017-12-16,3,7,3,6,18,47,24,8,
2017-12-17,6,7,5,17,13,55,25,11,
2017-12-18,1,9,10,17,21,49,30,9,
2017-12-19,2,4,5,10,23,43,51,14,
2017-12-20,6,4,7,13,34,55,28,23,
2017-12-21,0,9,5,8,26,47,26,5,
2017-12-22,1,17,5,7,28,48,20,14,
2017-12-23,2,3,5,11,32,28,19,8,
2017-12-24,1,6,1,5,6,15,15,2,
2017-12-25,0,0,2,2,9,8,9,3,
2017-12-26,1,3,2,1,7,8,7,2,
2017-12-27,1,0,2,2,2,22,4,2,
2017-12-28,0,1,0,3,3,23,6,0,
2017-12-29,1,2,0,3,12,19,3,0,
2017-12-30,1,1,2,2,4,16,4,6,
2017-12-31,4,0,2,0,6,21,7,1,
